QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
SD022,HCLTech,Site Reliability Engineer,System Design,Hard,GCP,How would you design a multi-region deployment on GCP?,GCP;Multi-Region;Load Balancing;Replication,"gcp,cloud,multi-region"
AI080,Salesforce,Data Scientist,AI/ML,Hard,Model Compression,What is the structural difference between structured pruning and unstructured pruning of deep neural network weights regarding hardware deployment and inference acceleration capabilities?,Structured pruning;Unstructured pruning;Weight sparsity;Inference acceleration;Hardware matrix multiplication acceleration,"pruning,model compression,sparsity,inference speed"
21,Wipro,QA Engineer,Technical,Easy,Testing Methodology,"What is the fundamental difference between Boundary Value Analysis and Equivalence Partitioning, and how do they reduce the overall test suite volume?",Boundary Value Analysis;Equivalence Partitioning;Black-box testing;Test optimization;Defect localization,"QA, Software Testing, Boundary Value, Equivalence Class, Test Cases"
HR039,NVIDIA,Frontend Developer,HR,Hard,Work-Life Balance,How do you balance personal and professional commitments?,Work-Life Balance;Time Management;Stress Management;Professional Values,"work-life balance,time management,stress"
BH022,HCLTech,Business Analyst,Behavioral,Medium,Negotiation,Explain how you negotiated a solution between two opposing stakeholders.,Negotiation;Communication;Stakeholder Management;Conflict Resolution,"negotiation,stakeholders,conflict"
SD007,NVIDIA,Data Engineer,System Design,Medium,Message Queues,How would you design a message queue system for event-driven architecture?,Message Queues;Asynchronous Processing;Scalability;Reliability,"message queues,event-driven,scalability"
15,Deloitte,Data Analyst,Technical,Medium,Data Quality,"How do you detect, evaluate, and handle systematic missingness (such as Missing Not at Random vs. Missing Completely at Random) in an enterprise compliance dataset?",MCAR;MNAR;Data Imputation;Bias Mitigation;Data Cleaning,"Data Analyst, Data Quality, Missing Data, Statistics, Imputation"
BH043,IBM,Data Engineer,Behavioral,Hard,Stakeholder Management,Describe a time when you had to convince leadership to invest in re-architecting a legacy data pipeline.,Stakeholder Management;Influence;Communication;Technical Strategy,"pipelines,stakeholders,influence"
HR030,PhonePe,Machine Learning Engineer,HR,Hard,Weaknesses,How do you ensure your weaknesses don’t affect your performance?,Weaknesses;Self Awareness;Adaptability;Resilience,"weaknesses,self awareness,resilience"
SD003,Amazon,Full Stack Developer,System Design,Hard,Distributed Systems,How would you design a distributed system to handle millions of concurrent users?,Distributed Systems;Consistency;Fault Tolerance;Scalability,"distributed systems,concurrency,scalability"
